#,Day,Date,Orders,OM,OC,Sum,SM,SC
1,Fri,2019-11-29,2,2,0,2450,2450,0
2,Sat,2019-11-30,3,3,0,7990,7990,0
3,Sun,2019-12-01,2,2,0,5925,5925,0
4,Mon,2019-12-02,1,1,0,3040,3040,0
5,Tue,2019-12-03,1,1,0,1320,1320,0
6,Wed,2019-12-04,0,0,0,0,0,0
7,Thu,2019-12-05,0,0,0,0,0,0
8,Fri,2019-12-06,0,0,0,0,0,0
9,Sat,2019-12-07,0,0,0,0,0,0
10,Sun,2019-12-08,0,0,0,0,0,0
11,Mon,2019-12-09,0,0,0,0,0,0
12,Tue,2019-12-10,0,0,0,0,0,0
13,Wed,2019-12-11,0,0,0,0,0,0
14,Thu,2019-12-12,0,0,0,0,0,0
15,Fri,2019-12-13,0,0,0,0,0,0
16,Sat,2019-12-14,3,3,0,4495,4495,0
17,Sun,2019-12-15,6,6,0,7460,7460,0
18,Mon,2019-12-16,2,2,0,3360,3360,0
19,Tue,2019-12-17,3,3,0,4560,4560,0
20,Wed,2019-12-18,5,5,0,7930,7930,0
21,Thu,2019-12-19,3,3,0,3120,3120,0
22,Fri,2019-12-20,12,12,0,18475,18475,0
23,Sat,2019-12-21,17,17,0,20665,20665,0
24,Sun,2019-12-22,13,13,0,18790,18790,0
25,Mon,2019-12-23,6,6,0,9800,9800,0
26,Tue,2019-12-24,6,6,0,8880,8880,0
27,Wed,2019-12-25,7,7,0,21035,21035,0
28,Thu,2019-12-26,5,5,0,6365,6365,0
29,Fri,2019-12-27,18,18,0,29820,29820,0
30,Sat,2019-12-28,10,10,0,15155,15155,0
31,Sun,2019-12-29,11,11,0,19555,19555,0
32,Mon,2019-12-30,4,4,0,6210,6210,0
33,Tue,2019-12-31,4,4,0,8090,8090,0
34,Wed,2020-01-01,0,0,0,0,0,0
35,Thu,2020-01-02,0,0,0,0,0,0
36,Fri,2020-01-03,9,9,0,14725,14725,0
37,Sat,2020-01-04,6,6,0,9040,9040,0
38,Sun,2020-01-05,4,4,0,6855,6855,0
39,Mon,2020-01-06,6,6,0,13375,13375,0
40,Tue,2020-01-07,4,4,0,5605,5605,0
41,Wed,2020-01-08,5,5,0,7325,7325,0
42,Thu,2020-01-09,2,2,0,3575,3575,0
43,Fri,2020-01-10,4,4,0,6070,6070,0
44,Sat,2020-01-11,9,9,0,13710,13710,0
